lambda_base,lambda_eff,exp_return,exp_vol,sharpe,cash_pct,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,NIFTYBEES.NS,HINDUNILVR.NS,KOTAKBANK.NS
0.1,0.1,0.07358175637200474,0.10825920809102615,0.06079627245817665,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.2
0.2,0.2,0.07358175637200474,0.10825920809102618,0.060796272458176634,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.0,0.2
0.3,0.3,0.07356929484784662,0.10785383332167751,0.060909237851048334,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.009517,0.190483
0.4,0.4,0.07354072762652607,0.10707850969176952,0.06108347589325231,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.031334,0.168666
0.5,0.5,0.07352358729373376,0.1067177386391078,0.061129361583133854,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.044425,0.155575
0.6,0.6,0.07351216040520553,0.10652125210010824,0.061134846011297136,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.053152,0.146848
0.7,0.7,0.07350399834197109,0.1064026015655436,0.06112630880400363,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.059385,0.140615
0.7999999999999999,0.7999999999999999,0.07349787679454527,0.10632552194972919,0.06111304806483261,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.06406,0.13594
0.8999999999999999,0.8999999999999999,0.07349311559099185,0.10627264411536069,0.061098654163952194,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.067697,0.132303
0.9999999999999999,0.9999999999999999,0.07348930662814912,0.10623480476515688,0.061084562459636865,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.070606,0.129394
1.0999999999999999,1.0999999999999999,0.07348619020400506,0.1062067992479234,0.061071326778172785,0.0,0.4,0.0,0.4,0.0,0.0,0.0,0.072986,0.127014
1.2,1.2,0.07313895126447448,0.10334138677543937,0.0594045754234925,0.0,0.380554,0.0,0.4,0.0,0.0,0.0,0.08448,0.134966
1.3,1.3,0.07278284040834718,0.10054228834728214,0.05751649824058332,0.0,0.360585,0.0,0.4,0.0,0.0,0.0,0.095926,0.143489
1.4,1.4,0.07247759971208342,0.0982645525981939,0.05574339384353645,0.0,0.343468,0.0,0.4,0.0,0.0,0.0,0.105733,0.150799
1.5,1.5,0.0722130630385421,0.09638780981935682,0.05408425603017421,0.0,0.328634,0.0,0.4,0.0,0.0,0.0,0.114238,0.157128
1.5999999999999999,1.5999999999999999,0.07198159098204701,0.094824180155346,0.05253502768334905,0.0,0.315654,0.0,0.4,0.0,0.0,0.0,0.121678,0.162668
1.7,1.7,0.0717773509322269,0.09350846969777428,0.05109003383947552,0.0,0.304201,0.0,0.4,0.0,0.0,0.0,0.128242,0.167557
1.8,1.8,0.0715958042212552,0.09239146301699969,0.0497427361948673,0.0,0.294021,0.0,0.4,0.0,0.0,0.0,0.134077,0.171902
1.9,1.9,0.07143336769055303,0.09143548004174365,0.048486294817315284,0.0,0.284912,0.0,0.4,0.0,0.0,0.0,0.139298,0.17579
2.0,2.0,0.07128717481543914,0.09061129595335968,0.047313910732851266,0.0,0.276714,0.0,0.4,0.0,0.0,0.0,0.143997,0.179289
