Field,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits,Open,High,Low,Close,Adj Close,Volume,Dividends,Stock Splits
Ticker,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,RELIANCE.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,TCS.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,HDFCBANK.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,INFY.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,ICICIBANK.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,NIFTYBEES.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,HINDUNILVR.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS,KOTAKBANK.NS
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2014-01-01,205.1419677734375,205.32484436035156,202.8904266357422,203.16473388671875,188.33409118652344,5849398.0,0.0,0.0,1090.050048828125,1092.25,1075.550048828125,1076.6500244140625,811.1532592773438,529952.0,0.0,0.0,167.0,167.4499969482422,165.75,166.28750610351562,150.4985809326172,4492436.0,0.0,0.0,436.5,437.375,432.7562561035156,433.5,316.1754455566406,1478688.0,0.0,0.0,200.16363525390625,201.10000610351562,198.5454559326172,199.58181762695312,177.5121307373047,3102869.0,0.0,0.0,63.599998474121094,63.928001403808594,63.599998474121094,63.71900177001953,63.71900177001953,130500.0,0.0,0.0,570.6500244140625,574.4000244140625,569.2999877929688,572.3499755859375,468.3412780761719,251204.0,0.0,0.0,73.19999694824219,73.20500183105469,72.07499694824219,72.25499725341797,71.67333221435547,3927680.0,0.0,0.0
2014-01-02,202.9132843017578,204.81053161621094,198.89022827148438,200.01028442382812,185.409912109375,6023632.0,0.0,0.0,1083.0,1094.5,1078.074951171875,1083.5,816.3139038085938,1726948.0,0.0,0.0,166.25,168.6875,163.3874969482422,164.25,148.65452575683594,7228992.0,0.0,0.0,432.90625,438.5,432.90625,435.0687561035156,317.31951904296875,4404744.0,0.0,0.0,199.3000030517578,203.27272033691406,194.56362915039062,195.56362915039062,173.938232421875,11321513.0,0.0,0.0,63.70000076293945,64.2959976196289,62.724998474121094,62.85599899291992,62.85599899291992,675500.0,0.0,0.0,571.0,575.75,558.5999755859375,562.4000244140625,460.1995544433594,531660.0,0.0,0.0,72.26000213623047,73.1449966430664,70.30000305175781,70.73999786376953,70.17052459716797,4561390.0,0.0,0.0
2014-01-03,199.23309326171875,199.63311767578125,195.43861389160156,197.55300903320312,183.1320037841797,12833897.0,0.0,0.0,1082.3499755859375,1114.550048828125,1073.625,1111.0999755859375,837.1079711914062,2618174.0,0.0,0.0,163.0,166.5,162.5,165.77499389648438,150.03469848632812,6513184.0,0.0,0.0,434.375,446.875,431.78125,445.64373779296875,325.03253173828125,10046344.0,0.0,0.0,194.18182373046875,195.4545440673828,190.0,193.96363830566406,172.51519775390625,15567502.0,0.0,0.0,62.41899871826172,62.939998626708984,62.349998474121094,62.79199981689453,62.79199981689453,266060.0,0.0,0.0,560.0,567.4000244140625,558.0499877929688,565.0,462.32708740234375,1018173.0,0.0,0.0,70.70999908447266,71.62999725341797,69.66000366210938,71.25499725341797,70.68136596679688,5725670.0,0.0,0.0
2014-01-06,197.06155395507812,197.32443237304688,194.2957000732422,195.42718505859375,181.16136169433594,13315857.0,0.0,0.0,1114.5,1122.0,1098.5,1119.800048828125,843.662841796875,2311810.0,0.0,0.0,165.75,165.75,164.25,165.4250030517578,149.7179718017578,5963420.0,0.0,0.0,446.88751220703125,447.5625,433.57501220703125,439.73748779296875,320.7247314453125,11098328.0,0.0,0.0,193.81817626953125,194.36363220214844,188.19090270996094,189.23635864257812,168.31065368652344,14802265.0,0.0,0.0,62.7599983215332,62.84199905395508,62.400001525878906,62.54199981689453,62.54199981689453,125770.0,0.0,0.0,567.0,567.7999877929688,560.2000122070312,563.5,461.0995788574219,603727.0,0.0,0.0,71.0,71.69999694824219,70.55999755859375,71.41000366210938,70.83513641357422,4467150.0,0.0,0.0
2014-01-07,195.34718322753906,196.57009887695312,192.02130126953125,192.48989868164062,178.43849182128906,17311470.0,0.0,0.0,1120.0,1128.2249755859375,1099.5,1103.074951171875,831.061767578125,2897486.0,0.0,0.0,166.77499389648438,167.7375030517578,163.3249969482422,166.10000610351562,150.32888793945312,7896920.0,0.0,0.0,439.8812561035156,440.73748779296875,430.8374938964844,432.14373779296875,315.1862487792969,7713688.0,0.0,0.0,190.00909423828125,192.58181762695312,186.154541015625,190.90908813476562,169.79840087890625,18566515.0,0.0,0.0,62.540000915527344,62.880001068115234,62.1349983215332,62.39400100708008,62.39400100708008,146070.0,0.0,0.0,563.0,565.9000244140625,556.0,558.9500122070312,457.37646484375,605461.0,0.0,0.0,71.19999694824219,71.5,70.0,70.81500244140625,70.24492645263672,6437940.0,0.0,0.0
2014-01-08,193.01564025878906,195.9757843017578,193.01564025878906,194.07855224609375,179.91116333007812,12726430.0,0.0,0.0,1106.0,1122.0,1105.0,1116.324951171875,841.0443725585938,2550020.0,0.0,0.0,166.3000030517578,166.7375030517578,165.0,166.1750030517578,150.39675903320312,4649480.0,0.0,0.0,432.625,434.375,427.625,428.51251220703125,312.537841796875,8990392.0,0.0,0.0,191.63636779785156,193.42727661132812,189.69090270996094,191.69090270996094,170.4937744140625,18955475.0,0.0,0.0,62.400001525878906,62.60499954223633,62.29999923706055,62.433998107910156,62.433998107910156,154220.0,0.0,0.0,558.0,562.1500244140625,557.0,559.1500244140625,457.5401306152344,564149.0,0.0,0.0,70.9000015258789,71.69999694824219,70.36499786376953,71.29000091552734,70.71609497070312,3129830.0,0.0,0.0
2014-01-09,194.3985595703125,195.16432189941406,193.16421508789062,194.45570373535156,180.26080322265625,8309185.0,0.0,0.0,1114.375,1127.75,1111.050048828125,1120.9749755859375,844.5481567382812,2582206.0,0.0,0.0,165.8000030517578,166.5124969482422,164.27499389648438,165.7375030517578,150.0008087158203,3777472.0,0.0,0.0,430.0,435.25,427.23126220703125,431.3500061035156,314.6073303222656,12590808.0,0.0,0.0,193.60000610351562,193.74545288085938,189.5,191.06362915039062,169.9358367919922,19238686.0,0.0,0.0,62.400001525878906,62.58300018310547,62.19599914550781,62.356998443603516,62.356998443603516,168880.0,0.0,0.0,560.0,560.0,553.7999877929688,554.1500244140625,453.4487609863281,854783.0,0.0,0.0,71.05000305175781,71.55500030517578,70.66500091552734,71.01499938964844,70.44332122802734,3075830.0,0.0,0.0
2014-01-10,193.9185333251953,200.30743408203125,193.83853149414062,196.15866088867188,181.8394317626953,14839980.0,0.0,0.0,1130.0,1154.9000244140625,1117.5,1140.449951171875,859.2202758789062,3369334.0,0.0,0.0,165.7375030517578,168.6750030517578,164.0749969482422,165.5124969482422,149.7971649169922,6150508.0,0.0,0.0,436.25,446.875,431.0,443.90625,323.7652893066406,30258176.0,0.0,0.0,190.42727661132812,191.74545288085938,185.20909118652344,186.27272033691406,165.6747283935547,21835286.0,0.0,0.0,62.400001525878906,63.09000015258789,62.12300109863281,62.47200012207031,62.47200012207031,154220.0,0.0,0.0,555.3499755859375,556.9500122070312,548.4000244140625,549.7999877929688,449.8891906738281,985783.0,0.0,0.0,70.41000366210938,71.4800033569336,69.80000305175781,70.04499816894531,69.48112487792969,3662240.0,0.0,0.0
