Date,RELIANCE.NS,TCS.NS,HDFCBANK.NS,INFY.NS,ICICIBANK.NS,NIFTYBEES.NS,HINDUNILVR.NS,KOTAKBANK.NS
2021-01-01,10015175.0,2681440.0,8810938.0,4253550.0,13592625.0,767502.0,830096.0,5530495.0
2021-01-04,24513534.0,5113293.0,15740192.0,7208454.0,16549750.0,1729074.0,1614486.0,15707145.0
2021-01-05,24123091.0,5801309.0,14386824.0,8145280.0,23311516.0,2248517.0,2356303.0,16316150.0
2021-01-06,46401468.0,3726716.0,22134050.0,7161715.0,28178838.0,1890161.0,1641627.0,17262575.0
2021-01-07,32325918.0,3717827.0,19894842.0,10954918.0,21138034.0,1184831.0,2403881.0,17096585.0
2021-01-08,27540187.0,5879039.0,13768764.0,13186251.0,21937965.0,1488219.0,2797948.0,16314485.0
2021-01-11,33307825.0,9508039.0,17331392.0,20528626.0,19394393.0,1714620.0,2787672.0,14977605.0
2021-01-12,41161546.0,3611458.0,20388156.0,8309868.0,16388310.0,1645477.0,2036708.0,30177900.0
2021-01-13,26619458.0,3572801.0,16934650.0,14442997.0,21920297.0,1524163.0,1702740.0,27915650.0
2021-01-14,21553242.0,6931542.0,12297166.0,27521697.0,13330898.0,1242536.0,2120413.0,24018190.0
2021-01-15,20593268.0,4131692.0,14165236.0,15018441.0,15708956.0,2219346.0,2042957.0,13575820.0
2021-01-18,35100458.0,4160906.0,42825632.0,8861765.0,21580313.0,2172716.0,1733797.0,25023140.0
2021-01-19,32006615.0,2975735.0,17360254.0,5585744.0,20575358.0,1986752.0,1495269.0,24027570.0
2021-01-20,30924537.0,3453446.0,13346052.0,8225838.0,16097138.0,1574034.0,1380562.0,15207240.0
2021-01-21,39087742.0,2778546.0,26333054.0,6142421.0,18189277.0,1966764.0,1521133.0,28344310.0
2021-01-22,30532660.0,3052459.0,15392364.0,9646591.0,24515997.0,2013987.0,2548089.0,21490875.0
2021-01-25,54207104.0,2272887.0,20344718.0,6542611.0,23415249.0,1877148.0,2124424.0,33050690.0
2021-01-27,42370131.0,2786662.0,23556276.0,8133665.0,28049286.0,3099586.0,2460297.0,39461595.0
2021-01-28,34067814.0,3083938.0,42704446.0,4660690.0,29836591.0,3724096.0,3867335.0,30179620.0
2021-01-29,43712383.0,5445659.0,28704502.0,12183519.0,33172808.0,4019948.0,4472694.0,25703435.0
2021-02-01,34180952.0,3985846.0,26370544.0,8880279.0,69354326.0,5752457.0,2717591.0,24146050.0
2021-02-02,41470034.0,2881837.0,42420206.0,6892490.0,42362384.0,5401586.0,4215607.0,29356685.0
2021-02-03,30301696.0,2505866.0,20237254.0,8182968.0,27155908.0,3184291.0,2353429.0,21446975.0
2021-02-04,25626981.0,2057261.0,24484684.0,5032240.0,29982222.0,2597296.0,2908003.0,48208370.0
2021-02-05,20248046.0,2366135.0,27054716.0,5477481.0,32015570.0,2162707.0,4036942.0,81341680.0
